رقم;القسم;الميزة/الخيار;التفاصيل;يظهر لـ;تم الفحص;ملاحظات/المشكلة
1;تسجيل الدخول;صفحة تسجيل الدخول;واجهة الدخول تظهر قبل التحقق;الكل;;
2;تسجيل الدخول;حقل اسم المستخدم;إدخال اسم المستخدم;الكل;;
3;تسجيل الدخول;حقل كلمة المرور;إدخال كلمة المرور;الكل;;
4;تسجيل الدخول;إظهار/إخفاء كلمة المرور;زر العين;الكل;;
5;تسجيل الدخول;زر تسجيل الدخول;تنفيذ عملية الدخول;الكل;;
6;تسجيل الدخول;تبديل الوضع الليلي/النهاري;زر الثيم في صفحة الدخول;الكل;;
7;تسجيل الدخول;التحقق من الحقول الفارغة;رسالة تحذير عند ترك حقل فارغ;الكل;;
8;تسجيل الدخول;رسالة نجاح تسجيل الدخول;إشعار بعد الدخول بنجاح;الكل;;
9;تسجيل الدخول;رسالة فشل تسجيل الدخول;إشعار عند خطأ في البيانات;الكل;;
10;الهيدر (لوحة التحكم);عنوان لوحة التحكم;يظهر اسم التطبيق;مدير/مدير فرع/موظف;;
11;الهيدر;ترحيب بالمستخدم;مرحباً + اسم المستخدم;مدير/مدير فرع/موظف;;
12;الهيدر;مؤشر التحديثات المباشرة;نقطة خضراء/صفراء (مباشر أو فحص دوري);مدير/مدير فرع/موظف;;
13;الهيدر;أيقونة الإشعارات (الجرس);فتح قائمة الإشعارات مع العدد;مدير/مدير فرع/موظف;;
14;الهيدر;تبديل الوضع الليلي/النهاري;زر القمر/الشمس;مدير/مدير فرع/موظف;;
15;الهيدر;تسجيل الخروج;زر الخروج;مدير/مدير فرع/موظف;;
16;الإحصائيات;بطاقة المجموع;عدد إجمالي السجلات;مدير/مدير فرع/موظف;;
17;الإحصائيات;بطاقة قيد المراجعة;عدد السجلات المعلقة;مدير/مدير فرع/موظف;;
18;الإحصائيات;بطاقة مكتملة;عدد السجلات المكتملة;مدير/مدير فرع/موظف;;
19;الإحصائيات;بطاقة امتناع;عدد سجلات الامتناع;مدير/مدير فرع/موظف;;
20;الإحصائيات;بطاقة مقفلة;عدد السجلات المقفلة حالياً;مدير/مدير فرع/موظف;;
21;الإحصائيات;بطاقة المستخدمين/فريقك;عدد المستخدمين (مدير) أو فريق مدير الفرع;مدير/مدير فرع/موظف;;
22;التبويبات;تبويب سجلات المشتركين;الدخول لجدول السجلات;مدير/مدير فرع/موظف;;
23;التبويبات;تبويب إدارة المستخدمين;يظهر للمدير فقط;مدير;;
24;التبويبات;تبويب التقارير;الدخول لصفحة التقارير;مدير/مدير فرع/موظف;;
25;التبويبات;تبويب القطاعات;يظهر للمدير فقط;مدير;;
26;التبويبات;تبويب الانجازات;يظهر للمدير فقط;مدير;;
27;التبويبات;تبويب الحركات;يظهر للمدير فقط;مدير;;
28;التبويبات;تبويب النسخ الاحتياطي;يظهر للمدير فقط;مدير;;
